1.990861,-0.007684,0.000529,-0.240489,-0.081949,-0.00184,-0.714995,-0.068002,-0.001628,0.436657,-0.142964,-0.003916,-0.213483,1.00E-01,,,,,,,,,,,,,,,,,,,,
,5.60E+00,2.25E+01,1.00E-01,,,,,,,,,,9.33E-02,,,,,,,,,,,,,,,,,,,,
,5.44E+00,2.79E+01,9.33E-02,5.60E+00,2.25E+01,1.00E-01,,,,,,,8.67E-02,,,,,,,,,,,,,,,,,,,,
,5.46E+00,2.87E+01,8.67E-02,5.44E+00,2.79E+01,9.33E-02,5.60E+00,2.25E+01,1.00E-01,,,,1.09E-01,,,,,,,,,,,,,,,,,,,,
,5.51E+00,2.70E+01,1.09E-01,5.46E+00,2.87E+01,8.67E-02,5.44E+00,2.79E+01,9.33E-02,5.60E+00,2.25E+01,1.00E-01,9.48E-02,0.089395456,,,,,,,,,,,,,,,,,,,
,5.60E+00,2.69E+01,9.48E-02,5.51E+00,2.70E+01,1.09E-01,5.46E+00,2.87E+01,8.67E-02,5.44E+00,2.79E+01,9.33E-02,5.76E-02,0.072312782,,,,,,,,,,,,,,,,,,,
,5.81E+00,2.34E+01,5.76E-02,5.60E+00,2.69E+01,9.48E-02,5.51E+00,2.70E+01,1.09E-01,5.46E+00,2.87E+01,8.67E-02,7.21E-02,0.085369233,,,,,,,,,,,,,,,,,,,
,5.73E+00,2.47E+01,7.21E-02,5.81E+00,2.34E+01,5.76E-02,5.60E+00,2.69E+01,9.48E-02,5.51E+00,2.70E+01,1.09E-01,8.10E-02,0.08173344,,,,,,,,,,,,,,,,,,,
,5.54E+00,3.14E+01,8.10E-02,5.73E+00,2.47E+01,7.21E-02,5.81E+00,2.34E+01,5.76E-02,5.60E+00,2.69E+01,9.48E-02,5.50E-02,0.044849645,,,,,,,,,,,,,,,,,,,
,6.03E+00,2.33E+01,5.50E-02,5.54E+00,3.14E+01,8.10E-02,5.73E+00,2.47E+01,7.21E-02,5.81E+00,2.34E+01,5.76E-02,6.24E-02,0.041283988,,,,,,,,,,,,,,,,,,,
,5.57E+00,2.95E+01,6.24E-02,6.03E+00,2.33E+01,5.50E-02,5.54E+00,3.14E+01,8.10E-02,5.73E+00,2.47E+01,7.21E-02,5.60E-02,0.048138916,,,,,,,,,,,,,,,,,,,
,5.57E+00,2.62E+01,5.60E-02,5.57E+00,2.95E+01,6.24E-02,6.03E+00,2.33E+01,5.50E-02,5.54E+00,3.14E+01,8.10E-02,3.98E-02,0.03648882,,,,,,,,,,,,,,,,,,,
