,5.25E+00,3.32E+01,1.16E-01,5.46E+00,2.71E+01,1.21E-01,5.57E+00,2.55E+01,1.39E-01,5.46E+00,2.79E+01,3.18E-02,9.67E-02,0.099969755,0.16440412,1.16E-01,0.21269109,,,,,,,,,,,,,,,,
,5.27E+00,2.46E+01,9.67E-02,5.25E+00,3.32E+01,1.16E-01,5.46E+00,2.71E+01,1.21E-01,5.57E+00,2.55E+01,1.39E-01,8.74E-02,0.077194539,0.06673842,1.53E-02,0.11813606,,,,,,,,,,,,,,,,
,5.08E+00,3.38E+01,8.74E-02,5.27E+00,2.46E+01,9.67E-02,5.25E+00,3.32E+01,1.16E-01,5.46E+00,2.71E+01,1.21E-01,5.01E-02,0.129889679,0.10249091,4.32E-02,0.16182114,,,,,,,,,,,,,,,,
,5.25E+00,2.40E+01,5.01E-02,5.08E+00,3.38E+01,8.74E-02,5.27E+00,2.46E+01,9.67E-02,5.25E+00,3.32E+01,1.16E-01,,,,,,,,,,,,,,,,,,,,,
,,,,5.25E+00,2.40E+01,5.01E-02,5.08E+00,3.38E+01,8.74E-02,5.27E+00,2.46E+01,9.67E-02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5.25E+00,2.40E+01,5.01E-02,5.08E+00,3.38E+01,8.74E-02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5.25E+00,2.40E+01,5.01E-02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
