5.18E+00,2.31E+01,5.18E+00,2.11E+01,7.24E+00,2.66E+01,1.04E+01,4.99E+01,1.24E+01,6.93E+01,1.04E+01,4.31E+01,6.20E-02
8.42E+00,3.34E+01,5.18E+00,2.31E+01,5.18E+00,2.11E+01,7.24E+00,2.66E+01,1.04E+01,4.99E+01,1.24E+01,6.93E+01,4.58E-02
8.40E+00,2.68E+01,8.42E+00,3.34E+01,5.18E+00,2.31E+01,5.18E+00,2.11E+01,7.24E+00,2.66E+01,1.04E+01,4.99E+01,8.93E-02
8.01E+00,2.47E+01,8.40E+00,2.68E+01,8.42E+00,3.34E+01,5.18E+00,2.31E+01,5.18E+00,2.11E+01,7.24E+00,2.66E+01,8.33E-02
7.82E+00,2.34E+01,8.01E+00,2.47E+01,8.40E+00,2.68E+01,8.42E+00,3.34E+01,5.18E+00,2.31E+01,5.18E+00,2.11E+01,9.86E-02
7.62E+00,2.34E+01,7.82E+00,2.34E+01,8.01E+00,2.47E+01,8.40E+00,2.68E+01,8.42E+00,3.34E+01,5.18E+00,2.31E+01,5.01E-02
7.03E+00,2.13E+01,7.62E+00,2.34E+01,7.82E+00,2.34E+01,8.01E+00,2.47E+01,8.40E+00,2.68E+01,8.42E+00,3.34E+01,3.40E-02
8.78E+00,2.55E+01,7.03E+00,2.13E+01,7.62E+00,2.34E+01,7.82E+00,2.34E+01,8.01E+00,2.47E+01,8.40E+00,2.68E+01,5.22E-02
1.23E+01,4.85E+01,8.78E+00,2.55E+01,7.03E+00,2.13E+01,7.62E+00,2.34E+01,7.82E+00,2.34E+01,8.01E+00,2.47E+01,5.77E-02
1.19E+01,3.86E+01,1.23E+01,4.85E+01,8.78E+00,2.55E+01,7.03E+00,2.13E+01,7.62E+00,2.34E+01,7.82E+00,2.34E+01,3.47E-02
7.62E+00,2.29E+01,1.19E+01,3.86E+01,1.23E+01,4.85E+01,8.78E+00,2.55E+01,7.03E+00,2.13E+01,7.62E+00,2.34E+01,3.15E-02
9.17E+00,2.70E+01,7.62E+00,2.29E+01,1.19E+01,3.86E+01,1.23E+01,4.85E+01,8.78E+00,2.55E+01,7.03E+00,2.13E+01,5.85E-02
1.03E+01,3.28E+01,9.17E+00,2.70E+01,7.62E+00,2.29E+01,1.19E+01,3.86E+01,1.23E+01,4.85E+01,8.78E+00,2.55E+01,1.74E-02
9.37E+00,3.14E+01,1.03E+01,3.28E+01,9.17E+00,2.70E+01,7.62E+00,2.29E+01,1.19E+01,3.86E+01,1.23E+01,4.85E+01,2.25E-02
9.37E+00,2.95E+01,9.37E+00,3.14E+01,1.03E+01,3.28E+01,9.17E+00,2.70E+01,7.62E+00,2.29E+01,1.19E+01,3.86E+01,2.06E-02
8.98E+00,2.69E+01,9.37E+00,2.95E+01,9.37E+00,3.14E+01,1.03E+01,3.28E+01,9.17E+00,2.70E+01,7.62E+00,2.29E+01,4.08E-03
8.78E+00,2.55E+01,8.98E+00,2.69E+01,9.37E+00,2.95E+01,9.37E+00,3.14E+01,1.03E+01,3.28E+01,9.17E+00,2.70E+01,2.70E-02
8.58E+00,2.19E+01,8.78E+00,2.55E+01,8.98E+00,2.69E+01,9.37E+00,2.95E+01,9.37E+00,3.14E+01,1.03E+01,3.28E+01,1.00E-01
1.09E+01,2.89E+01,8.58E+00,2.19E+01,8.78E+00,2.55E+01,8.98E+00,2.69E+01,9.37E+00,2.95E+01,9.37E+00,3.14E+01,7.95E-02
1.03E+01,2.57E+01,1.09E+01,2.89E+01,8.58E+00,2.19E+01,8.78E+00,2.55E+01,8.98E+00,2.69E+01,9.37E+00,2.95E+01,5.77E-02
1.05E+01,3.17E+01,1.03E+01,2.57E+01,1.09E+01,2.89E+01,8.58E+00,2.19E+01,8.78E+00,2.55E+01,8.98E+00,2.69E+01,1.24E-01
9.94E+00,2.87E+01,1.05E+01,3.17E+01,1.03E+01,2.57E+01,1.09E+01,2.89E+01,8.58E+00,2.19E+01,8.78E+00,2.55E+01,6.12E-02
8.77E+00,2.10E+01,9.94E+00,2.87E+01,1.05E+01,3.17E+01,1.03E+01,2.57E+01,1.09E+01,2.89E+01,8.58E+00,2.19E+01,5.06E-02
7.42E+00,2.08E+01,8.77E+00,2.10E+01,9.94E+00,2.87E+01,1.05E+01,3.17E+01,1.03E+01,2.57E+01,1.09E+01,2.89E+01,3.52E-02
