9.71E+00,1.55E+01,9.86E+00,1.58E+01,9.18E+00,1.76E+01,9.43E+00,1.85E+01,8.96E+00,2.21E+01,5.77E-02
8.22E+00,2.52E+01,9.71E+00,1.55E+01,9.86E+00,1.58E+01,9.18E+00,1.76E+01,9.43E+00,1.85E+01,6.76E-02
9.18E+00,2.06E+01,8.22E+00,2.52E+01,9.71E+00,1.55E+01,9.86E+00,1.58E+01,9.18E+00,1.76E+01,4.69E-02
9.30E+00,1.75E+01,9.18E+00,2.06E+01,8.22E+00,2.52E+01,9.71E+00,1.55E+01,9.86E+00,1.58E+01,5.55E-02
8.38E+00,2.98E+01,9.30E+00,1.75E+01,9.18E+00,2.06E+01,8.22E+00,2.52E+01,9.71E+00,1.55E+01,8.52E-02
8.56E+00,2.64E+01,8.38E+00,2.98E+01,9.30E+00,1.75E+01,9.18E+00,2.06E+01,8.22E+00,2.52E+01,7.78E-02
8.56E+00,2.50E+01,8.56E+00,2.64E+01,8.38E+00,2.98E+01,9.30E+00,1.75E+01,9.18E+00,2.06E+01,2.68E-02
1.06E+01,1.62E+01,8.56E+00,2.50E+01,8.56E+00,2.64E+01,8.38E+00,2.98E+01,9.30E+00,1.75E+01,1.05E-01
1.10E+01,1.49E+01,1.06E+01,1.62E+01,8.56E+00,2.50E+01,8.56E+00,2.64E+01,8.38E+00,2.98E+01,8.31E-02
1.13E+01,1.45E+01,1.10E+01,1.49E+01,1.06E+01,1.62E+01,8.56E+00,2.50E+01,8.56E+00,2.64E+01,7.40E-02
1.50E+01,1.27E+01,1.13E+01,1.45E+01,1.10E+01,1.49E+01,1.06E+01,1.62E+01,8.56E+00,2.50E+01,6.73E-02
1.13E+01,1.57E+01,1.50E+01,1.27E+01,1.13E+01,1.45E+01,1.10E+01,1.49E+01,1.06E+01,1.62E+01,7.96E-02
9.71E+00,1.72E+01,1.13E+01,1.57E+01,1.50E+01,1.27E+01,1.13E+01,1.45E+01,1.10E+01,1.49E+01,2.52E-02
8.56E+00,2.03E+01,9.71E+00,1.72E+01,1.13E+01,1.57E+01,1.50E+01,1.27E+01,1.13E+01,1.45E+01,1.08E-01
9.30E+00,1.66E+01,8.56E+00,2.03E+01,9.71E+00,1.72E+01,1.13E+01,1.57E+01,1.50E+01,1.27E+01,5.39E-02
1.00E+01,1.50E+01,9.30E+00,1.66E+01,8.56E+00,2.03E+01,9.71E+00,1.72E+01,1.13E+01,1.57E+01,6.83E-02
1.04E+01,1.47E+01,1.00E+01,1.50E+01,9.30E+00,1.66E+01,8.56E+00,2.03E+01,9.71E+00,1.72E+01,6.96E-02
1.02E+01,1.48E+01,1.04E+01,1.47E+01,1.00E+01,1.50E+01,9.30E+00,1.66E+01,8.56E+00,2.03E+01,5.65E-02
1.02E+01,1.43E+01,1.02E+01,1.48E+01,1.04E+01,1.47E+01,1.00E+01,1.50E+01,9.30E+00,1.66E+01,7.61E-02
1.33E+01,1.36E+01,1.02E+01,1.43E+01,1.02E+01,1.48E+01,1.04E+01,1.47E+01,1.00E+01,1.50E+01,7.17E-02
1.08E+01,1.62E+01,1.33E+01,1.36E+01,1.02E+01,1.43E+01,1.02E+01,1.48E+01,1.04E+01,1.47E+01,4.49E-02
9.86E+00,1.66E+01,1.08E+01,1.62E+01,1.33E+01,1.36E+01,1.02E+01,1.43E+01,1.02E+01,1.48E+01,2.21E-02
1.10E+01,1.52E+01,9.86E+00,1.66E+01,1.08E+01,1.62E+01,1.33E+01,1.36E+01,1.02E+01,1.43E+01,8.44E-02
1.21E+01,1.45E+01,1.10E+01,1.52E+01,9.86E+00,1.66E+01,1.08E+01,1.62E+01,1.33E+01,1.36E+01,7.67E-02
9.71E+00,1.69E+01,1.21E+01,1.45E+01,1.10E+01,1.52E+01,9.86E+00,1.66E+01,1.08E+01,1.62E+01,7.07E-02
1.04E+01,1.47E+01,1.08E+01,1.43E+01,1.33E+01,1.29E+01,9.71E+00,1.60E+01,1.08E+01,1.52E+01,8.25E-02
9.43E+00,1.58E+01,1.04E+01,1.47E+01,1.08E+01,1.43E+01,1.33E+01,1.29E+01,9.71E+00,1.60E+01,8.12E-02
9.18E+00,1.64E+01,9.43E+00,1.58E+01,1.04E+01,1.47E+01,1.08E+01,1.43E+01,1.33E+01,1.29E+01,1.12E-01
