-0.037236,0.002485,-0.001111,0.15983,0.000451,-0.001175,-0.078943,0.005943,0.001437,-0.116514,0.006158,-0.000691,-0.337538,6.17E-02,,,,
,8.56E+00,4.31E+01,6.17E-02,,,,,,,,,,6.67E-02,,,,
,7.79E+00,6.93E+01,6.67E-02,8.56E+00,4.31E+01,6.17E-02,,,,,,,4.60E-02,,,,
,8.56E+00,4.99E+01,4.60E-02,7.79E+00,6.93E+01,6.67E-02,8.56E+00,4.31E+01,6.17E-02,,,,3.56E-02,,,,
,1.08E+01,2.66E+01,3.56E-02,8.56E+00,4.99E+01,4.60E-02,7.79E+00,6.93E+01,6.67E-02,8.56E+00,4.31E+01,6.17E-02,4.81E-02,0.047517762,,,
,1.44E+01,2.11E+01,4.81E-02,1.08E+01,2.66E+01,3.56E-02,8.56E+00,4.99E+01,4.60E-02,7.79E+00,6.93E+01,6.67E-02,6.20E-02,0.048273975,,,
,1.44E+01,2.31E+01,6.20E-02,1.44E+01,2.11E+01,4.81E-02,1.08E+01,2.66E+01,3.56E-02,8.56E+00,4.99E+01,4.60E-02,4.58E-02,0.061551693,,,
,9.71E+00,3.34E+01,4.58E-02,1.44E+01,2.31E+01,6.20E-02,1.44E+01,2.11E+01,4.81E-02,1.08E+01,2.66E+01,3.56E-02,8.93E-02,0.077605054,,,
,9.71E+00,2.68E+01,8.93E-02,9.71E+00,3.34E+01,4.58E-02,1.44E+01,2.31E+01,6.20E-02,1.44E+01,2.11E+01,4.81E-02,8.33E-02,0.101825424,,,
,1.00E+01,2.47E+01,8.33E-02,9.71E+00,2.68E+01,8.93E-02,9.71E+00,3.34E+01,4.58E-02,1.44E+01,2.31E+01,6.20E-02,9.86E-02,0.091272865,,,
,1.02E+01,2.34E+01,9.86E-02,1.00E+01,2.47E+01,8.33E-02,9.71E+00,2.68E+01,8.93E-02,9.71E+00,3.34E+01,4.58E-02,5.01E-02,0.053906244,,,
,1.04E+01,2.34E+01,5.01E-02,1.02E+01,2.34E+01,9.86E-02,1.00E+01,2.47E+01,8.33E-02,9.71E+00,2.68E+01,8.93E-02,3.40E-02,0.036290165,,,
,1.10E+01,2.13E+01,3.40E-02,1.04E+01,2.34E+01,5.01E-02,1.02E+01,2.34E+01,9.86E-02,1.00E+01,2.47E+01,8.33E-02,5.22E-02,0.044525148,,,
,9.43E+00,2.55E+01,5.22E-02,1.10E+01,2.13E+01,3.40E-02,1.04E+01,2.34E+01,5.01E-02,1.02E+01,2.34E+01,9.86E-02,5.77E-02,0.046375121,,,
,7.79E+00,4.85E+01,5.77E-02,9.43E+00,2.55E+01,5.22E-02,1.10E+01,2.13E+01,3.40E-02,1.04E+01,2.34E+01,5.01E-02,3.47E-02,0.030548093,,,
,7.93E+00,3.86E+01,3.47E-02,7.79E+00,4.85E+01,5.77E-02,9.43E+00,2.55E+01,5.22E-02,1.10E+01,2.13E+01,3.40E-02,3.15E-02,0.015320911,,,
,1.04E+01,2.29E+01,3.15E-02,7.93E+00,3.86E+01,3.47E-02,7.79E+00,4.85E+01,5.77E-02,9.43E+00,2.55E+01,5.22E-02,5.85E-02,0.055920153,,,
,9.18E+00,2.70E+01,5.85E-02,1.04E+01,2.29E+01,3.15E-02,7.93E+00,3.86E+01,3.47E-02,7.79E+00,4.85E+01,5.77E-02,1.74E-02,0.033737805,,,
,8.56E+00,3.28E+01,1.74E-02,9.18E+00,2.70E+01,5.85E-02,1.04E+01,2.29E+01,3.15E-02,7.93E+00,3.86E+01,3.47E-02,2.25E-02,0.019548539,,,
,9.07E+00,3.14E+01,2.25E-02,8.56E+00,3.28E+01,1.74E-02,9.18E+00,2.70E+01,5.85E-02,1.04E+01,2.29E+01,3.15E-02,2.06E-02,0.041933925,,,
,9.07E+00,2.95E+01,2.06E-02,9.07E+00,3.14E+01,2.25E-02,8.56E+00,3.28E+01,1.74E-02,9.18E+00,2.70E+01,5.85E-02,4.08E-03,0.035250949,,,
,9.30E+00,2.69E+01,4.08E-03,9.07E+00,2.95E+01,2.06E-02,9.07E+00,3.14E+01,2.25E-02,8.56E+00,3.28E+01,1.74E-02,2.70E-02,0.045033741,,,
,9.43E+00,2.55E+01,2.70E-02,9.30E+00,2.69E+01,4.08E-03,9.07E+00,2.95E+01,2.06E-02,9.07E+00,3.14E+01,2.25E-02,1.00E-01,0.054830772,,,
,9.57E+00,2.19E+01,1.00E-01,9.43E+00,2.55E+01,2.70E-02,9.30E+00,2.69E+01,4.08E-03,9.07E+00,2.95E+01,2.06E-02,7.95E-02,0.072377252,,,
,8.30E+00,2.89E+01,7.95E-02,9.57E+00,2.19E+01,1.00E-01,9.43E+00,2.55E+01,2.70E-02,9.30E+00,2.69E+01,4.08E-03,5.77E-02,0.061407121,,,
